anime_id,anime,rating
18617,Girls und Panzer der Film,8.55
32182,Mob Psycho 100,8.55
877,Nana,8.55
2251,Baccano!,8.54
24687,Mushishi Zoku Shou: Odoro no Michi,8.54
16498,Shingeki no Kyojin,8.54
10030,Bakuman. 2nd Season,8.53
5941,Cross Game,8.53
30346,Doukyuusei (Movie),8.53
3784,Evangelion: 2.0 You Can (Not) Advance,8.53
13125,Shinsekai yori,8.53
12029,Uchuu Senkan Yamato 2199,8.53
14397,Chihayafuru 2,8.52
10087,Fate/Zero,8.51
14719,JoJo no Kimyou na Bouken (TV),8.51
9756,Mahou Shoujo Madoka°ÔMagica,8.51
10165,Nichijou,8.52
13601,Psycho-Pass,8.5
22789,Barakamon,8.5
30230,Diamond no Ace: Second Season,8.5
18115,Magi: The Kingdom of Magic,8.5
11981,Mahou Shoujo Madoka°ÔMagica Movie 3: Hangyaku no Monogatari,8.5
11917,Major: World Series,8.5
205,Samurai Champloo,8.5
32282,Shokugeki no Souma: Ni no Sara,8.5
6594,Katanagatari,8.49
11979,Mahou Shoujo Madoka°ÔMagica Movie 2: Eien no Monogatari,8.49
7655,Major S6,8.49
2246,Mononoke,8.49
25835,Shirobako,8.49
2921,Ashita no Joe 2,8.48
136,Hunter x Hunter,8.48
30503,Noragami Aragoto,8.48
12531,Sakamichi no Apollon,8.48
523,Tonari no Totoro,8.48
467,Ghost in the Shell: Stand Alone Complex,8.47
572,Kaze no Tani no Nausica?,8.47
19815,No Game No Life,8.47
2559,Romeo no Aoi Sora,8.47
392,Yuu°ÓYuu°ÓHakusho,8.47
486,Kino no Tabi: The Beautiful World,8.46
11771,Kuroko no Basket,8.46
1698,Nodame Cantabile,8.46
5341,Ookami to Koushinryou II,8.46
25781,Shingeki no Kyojin: Kuinaki Sentaku,8.45
10863,Steins;Gate: Oukoubakko no Poriomania,8.46
28701,Fate/stay night: Unlimited Blade Works 2nd Season,8.45
5420,Kemono no Souja Erin,8.45
9260,Kizumonogatari I: Tekketsu-hen,8.45
32,Neon Genesis Evangelion: The End of Evangelion,8.45
4224,Toradora!,8.45
2236,Toki wo Kakeru Shoujo,8.44
2685,Tsubasa: Tokyo Revelations,8.44
31181,Owarimonogatari,8.43
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.43
2418,Stranger: Mukou Hadan,8.43
1365,Detective Conan Movie 06: The Phantom of Baker Street,8.42
22297,Fate/stay night: Unlimited Blade Works,8.42
627,Major S1,8.42
10937,Mobile Suit Gundam: The Origin,8.42
23755,Nanatsu no Taizai,8.42
4081,Natsume Yuujinchou,8.42
4155,One Piece Film: Strong World,8.42
1889,Higurashi no Naku Koro ni Kai,8.41
137,Hunter x Hunter OVA,8.41
139,Hunter x Hunter: Greed Island Final,8.41
23317,Kuroshitsuji: Book of Murder,8.41
558,Major S2,8.41
5040,One Outs,8.41
57,Beck,8.4
33,Berserk,8.4
5,Cowboy Bebop: Tengoku no Tobira,8.4
1842,Major S3,8.4
6336,Mobile Suit Gundam Unicorn,8.4
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.4
1210,NHK ni Youkoso!,8.4
338,Rose of Versailles,8.4
13759,Sakurasou no Pet na Kanojo,8.4
6547,Angel Beats!,8.39
5081,Bakemonogatari,8.39
32867,Bungou Stray Dogs 2nd Season,8.39
264,Hajime no Ippo: Champion Road,8.39
12859,One Piece Film: Z,8.39
853,Ouran Koukou Host Club,8.39
5460,Detective Conan Movie 13: The Raven Chaser,8.38
6746,Durarara!!,8.38
5690,Nodame Cantabile Finale,8.38
329,Planetes,8.38
34240,Shelter,8.38
513,Tenkuu no Shiro Laputa,8.38
6945,Gintama: Shiroyasha Koutan,8.37
1142,Hachimitsu to Clover II,8.37
6811,InuYasha: Kanketsu-hen,8.37
16664,Kaguya-hime no Monogatari,8.37
1604,Katekyo Hitman Reborn!,8.37
22145,Kuroshitsuji: Book of Circus,8.37
2966,Ookami to Koushinryou,8.37
31964,Boku no Hero Academia,8.36
19363,Gin no Saji 2nd Season,8.36
18195,Little Busters!: Refrain,8.36
9890,Major: Message,8.36
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.36
9863,SKET Dance,8.36
7674,Bakuman.,8.35
11843,Danshi Koukousei no Nichijou,8.35
16782,Kotonoha no Niwa,8.35
28675,Kyoukai no Kanata Movie: I&#039;ll Be Here - Mirai-hen,8.35
3226,Major S4,8.35
21557,Omoide no Marnie,8.35
31715,Working!!!: Lord of the Takanashi,8.34
43,Ghost in the Shell,8.34
9617,K-On! Movie,8.34
31051,Kuroko no Basket: Saikou no Present Desu,8.34
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A&#039;s,8.34
1033,Sennen Joyuu,8.34
32188,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.34
3091,xxxHOLiC Kei,8.34
12115,Berserk: Ougon Jidai-hen III - Kourin,8.33
28223,Death Parade,8.33
121,Fullmetal Alchemist,8.33
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,8.33
138,Hunter x Hunter: Greed Island,8.33
6675,Redline,8.33
10800,Chihayafuru,8.32
32005,Detective Conan Movie 20: The Darkest Nightmare,8.32
813,Dragon Ball Z,8.32
27821,Fate/stay night: Unlimited Blade Works - Prologue,8.32
28725,Kokoro ga Sakebitagatterunda.,8.32
585,Mimi wo Sumaseba,8.32
16067,Nagi no Asukara,8.32
30,Neon Genesis Evangelion,8.32
31490,One Piece Film: Gold,8.32
759,Tokyo Godfathers,8.32
6,Trigun,8.32
6864,xxxHOLiC Rou,8.32
9735,Gintama: Shinyaku Benizakura-hen,8.31
11977,Mahou Shoujo Madoka°ÔMagica Movie 1: Hajimari no Monogatari,8.31
11123,Sekaiichi Hatsukoi 2,8.31
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.31
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,8.31
962,Aria The Natural,8.3
1519,Black Lagoon: The Second Barrage,8.3
2167,Clannad,8.3
16706,Kami nomi zo Shiru Sekai: Megami-hen,8.3
5681,Summer Wars,8.3
3901,Baccano! Specials,8.29
6467,Detective Conan Movie 14: The Lost Ship in the Sky,8.29
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,8.29
22507,Initial D Final Stage,8.29
3701,Kaiba,8.29
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.29
33255,Saiki Kusuo no ¶∑-nan (TV),8.29
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.28
265,Hajime no Ippo: Mashiba vs. Kimura,8.28
25681,Kamisama Hajimemashita°Ú,8.28
4722,Skip Beat!,8.28
24277,Yowamushi Pedal: Grande Road,8.28
239,Gankutsuou,8.27
512,Majo no Takkyuubin,8.27
4477,Nodame Cantabile: Paris-hen,8.27
15323,One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.27
31174,Osomatsu-san,8.27
23327,Space°ÓDandy 2nd Season,8.27
5365,Tsumiki no Ie,8.27
3702,Detroit Metal City,8.26
3167,Eve no Jikan,8.26
7465,Eve no Jikan (Movie),8.26
7054,Kaichou wa Maid-sama!,8.26
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.26
23283,Zankyou no Terror,8.26
2025,Darker than Black: Kuro no Keiyakusha,8.25
235,Detective Conan,8.25
1364,Detective Conan Movie 05: Countdown to Heaven,8.25
18689,Diamond no Ace,8.25
22043,Fairy Tail (2014),8.25
31988,Hibike! Euphonium 2,8.25
20899,JoJo no Kimyou na Bouken: Stardust Crusaders,8.25
1453,Maison Ikkoku,8.25
23623,Non Non Biyori Repeat,8.26
1559,Shijou Saikyou no Deshi Kenichi,8.25
1382,Yuusha-Ou GaoGaiGar Final,8.25
23289,Gekkan Shoujo Nozaki-kun,8.24
18,Initial D Fourth Stage,8.24
4814,Junjou Romantica 2,8.24
16662,Kaze Tachinu,8.24
12031,Kingdom,8.24
8129,Kuragehime,8.24
14513,Magi: The Labyrinth of Magic,8.24
2581,Mobile Suit Gundam 00,8.24
30015,ReLIFE,8.24
6171,Saint Seiya: The Lost Canvas - Meiou Shinwa,8.24
1827,Seirei no Moribito,8.24
25013,Akatsuki no Yona,8.23
1367,Detective Conan Movie 08: Magician of the Silver Sky,8.23
27833,Durarara!!x2 Ketsu,8.23
26213,Free!: Eternal Summer Special,8.23
1974,Glass no Kamen (2005),8.23
8425,Gosick,8.23
12069,Hajime no Ippo: Boxer no Kobushi,8.23
185,Initial D First Stage,8.23
18679,Kill la Kill,8.23
2034,Lovely°ÔComplex,8.23
437,Perfect Blue,8.23
721,Princess Tutu,8.23
12477,Sakasama no Patema,8.23
4938,Tsubasa: Shunraiki,8.23
2402,Ashita no Joe,8.22
6702,Fairy Tail,8.22
1566,Ghost in the Shell: Stand Alone Complex - Solid State Society,8.22
31741,Magi: Sinbad no Bouken (TV),8.22
440,Shoujo Kakumei Utena,8.22
4107,Tengen Toppa Gurren Lagann Movie: Gurren-hen,8.22
1506,Detective Conan Movie 10: Requiem of the Detectives,8.21
2759,Evangelion: 1.0 You Are (Not) Alone,8.21
72,Full Metal Panic? Fumoffu,8.21
3016,Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.21
3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,8.21
3927,Mobile Suit Gundam 00 Second Season,8.21
11597,Nisemonogatari,8.21
28025,Tsukimonogatari,8.21
24833,Ansatsu Kyoushitsu (TV),8.2
29893,Aria The Avvenire,8.2
27663,Baby Steps 2nd Season,8.2
1482,D.Gray-man,8.2
3371,"Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari",8.2
25313,Gintama: Jump Festa 2014 Special,8.2
1430,Lupin III: Cagliostro no Shiro,8.2
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.2
7720,Ookiku Furikabutte: Natsu no Taikai-hen,8.2
1914,Saiunkoku Monogatari 2nd Season,8.2
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,8.2
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,8.19
2164,Dennou Coil,8.19
237,Eureka Seven,8.19
2449,Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.19
10643,Gintama: Dai Hanseikai,8.19
17739,Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.19
135,Hikaru no Go,8.19
6045,Kimi ni Todoke,8.19
16001,Kokoro Connect: Michi Random,8.19
6211,Tokyo Magnitude 8.0,8.19
232,Cardcaptor Sakura,8.18
4789,ef: A Tale of Melodies.,8.18
16918,Gin no Saji,8.18
16,Hachimitsu to Clover,8.18
1486,Kodomo no Omocha (TV),8.18
24997,Love Live! The School Idol Movie,8.18
32902,Mahoutsukai no Yome: Hoshi Matsu Hito,8.18
8063,Sekaiichi Hatsukoi OVA,8.18
25879,Working!!!,8.18
889,Black Lagoon,8.17
21419,Detective Conan Movie 18: The Sniper from Another Dimension,8.17
2952,Final Fantasy VII: Advent Children Complete,8.17
934,Higurashi no Naku Koro ni,8.17
12189,Hyouka,8.17
731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.17
1530,Kanon (2006),8.17
9656,Kimi ni Todoke 2nd Season,8.17
20507,Noragami,8.17
31149,Persona 3 the Movie 4: Winter of Rebirth,8.17
4918,xxxHOLiC Shunmuki,8.17
14075,Zetsuen no Tempest,8.17
4772,Aria The Origination: Sono Choppiri Himitsu no Basho ni...,8.16
781,Detective Conan Movie 03: The Last Wizard of the Century,8.16
1363,Detective Conan Movie 04: Captured in Her Eyes,8.16
223,Dragon Ball,8.16
2004,Hanada Shounen-shi,8.16
25649,Junjou Romantica 3,8.16
153,Juuni Kokuki,8.16
5029,Major Movie: Yuujou no Winning Shot,8.16
302,Mirai Shounen Conan,8.16
8740,One Piece Film: Strong World Episode 0,8.16
5682,Phantom: Requiem for the Phantom,8.16
21647,Tamako Love Story,8.16
16049,Toaru Kagaku no Railgun S,8.16
1065,Touch,8.16
18179,Yowamushi Pedal,8.16
47,Akira,8.15
4901,Black Lagoon: Roberta&#039;s Blood Trail,8.15
23199,Durarara!!x2 Shou,8.15
32122,Gintama: Jump Festa 2015 Special,8.15
30415,High°ÓSpeed!: Free! Starting Days,8.15
851,Kyou kara Ore wa!!,8.15
10049,Nurarihyon no Mago: Sennen Makyou,8.15
1943,Paprika,8.15
4053,Prince of Tennis: The National Tournament Finals,8.15
846,School Rumble Ni Gakki,8.15
9926,Sekaiichi Hatsukoi,8.15
31173,Akagami no Shirayuki-hime 2nd Season,8.14
4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",8.14
589,Ginga Nagareboshi Gin,8.14
15059,Initial D Fifth Stage,8.14
7791,K-On!!,8.14
17265,Log Horizon,8.14
20815,Sekaiichi Hatsukoi: Valentine-hen,8.14
535,Slayers Next,8.14
2563,Aria The OVA: Arietta,8.13
9963,Detective Conan Movie 15: Quarter of Silence,8.13
32551,Digimon Adventure tri. 3: Kokuhaku,8.13
2951,Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.13
2762,Igano Kabamaru,8.13
14713,Kamisama Hajimemashita,8.13
14807,Kara no Kyoukai: Mirai Fukuin,8.13
81,Mobile Suit Gundam: The 08th MS Team,8.13
9204,Omae Umasou da na,8.13
31098,Ushio to Tora (TV) 2nd Season,8.13
1023,Wolf&#039;s Rain OVA,8.13
33253,Ajin 2nd Season,8.12
24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,8.12
1471,City Hunter 2,8.12
27831,Durarara!!x2 Ten,8.12
2924,ef: A Tale of Memories.,8.12
4672,Ghost in the Shell 2.0,8.12
2448,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven,8.12
3907,Ginga Sengoku Gunyuuden Rai,8.12
186,Initial D Second Stage,8.12
10080,Kami nomi zo Shiru Sekai II,8.12
30885,Noragami Aragoto OVA,8.12
21469,Stand By Me Doraemon,8.12
9941,Tiger &amp; Bunny,8.12
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,8.12
6421,Fullmetal Alchemist: Brotherhood Specials,8.11
21855,Hanamonogatari,8.11
11739,Kimi to Boku. 2,8.11
2159,Ookiku Furikabutte,8.11
28297,Ore Monogatari!!,8.11
29831,Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.1
2154,Tekkon Kinkreet,8.11
6505,There She Is!!,8.11
861,xxxHOLiC,8.11
1689,Byousoku 5 Centimeter,8.1
34103,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,8.1
3665,Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu,8.1
9996,Hyouge Mono,8.1
7711,Karigurashi no Arrietty,8.1
77,Mahou Shoujo Lyrical Nanoha A&#039;s,8.1
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,8.1
32093,Tanaka-kun wa Itsumo Kedaruge,8.1
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,8.09
7338,Darker than Black: Kuro no Keiyakusha Gaiden,8.09
32613,Elsword: El Lady,8.11
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,8.09
645,Hikaru no Go: Journey to the North Star Cup,8.09
11135,Hybrid Child,8.09
5781,Isekai no Seikishi Monogatari,8.09
13767,Junjou Romantica OVA,8.09
5678,Kobato.,8.09
6774,Kuuchuu Buranko,8.09
1089,Macross: Do You Remember Love?,8.09
25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,8.09
995,Prince of Tennis: The National Tournament,8.09
2752,Prince of Tennis: The National Tournament Semifinals,8.09
15,Eyeshield 21,8.08
122,Full Moon wo Sagashite,8.08
29095,Grisaia no Rakuen,8.08
1594,Jigoku Shoujo Futakomori,8.08
3092,Junjou Romantica,8.08
10721,Mawaru Penguindrum,8.08
16395,SKET Dance OVA,8.08
3588,Soul Eater,8.08
4106,Trigun: Badlands Rumble,8.08
387,Haibane Renmei,8.07
16916,Kuroko no Basket: Tip Off,8.07
1088,Macross,8.07
10620,Mirai Nikki (TV),8.07
2143,Saiyuuki Reload: Burial,8.07
6582,Tentai Senshi Sunred 2nd Season,8.07
2158,Terra e... (TV),8.07
22319,Tokyo Ghoul,8.07
11113,Usagi Drop Specials,8.07
6586,Yume-iro Patissi®®re,8.07
66,Azumanga Daioh,8.06
8142,Colorful (Movie),8.06
6438,Detective Conan OVA 09: The Stranger in 10 Years...,8.06
33032,Drifters: Special Edition,8.06
227,FLCL,8.06
73,Full Metal Panic! The Second Raid,8.06
4898,Kuroshitsuji,8.06
19111,Love Live! School Idol Project 2nd Season,8.06
7222,Macross F Movie 2: Sayonara no Tsubasa,8.06
22097,Magi: Sinbad no Bouken,8.06
15689,Nekomonogatari: Kuro,8.06
957,Saiunkoku Monogatari,8.06
24,School Rumble,8.06
33286,Strike the Blood II,8.05
849,Suzumiya Haruhi no Yuuutsu,8.06
2623,Flanders no Inu (Movie),8.05
268,Golden Boy,8.05
29093,Grisaia no Meikyuu: Caprice no Mayu 0,8.05
427,Kaleido Star,8.05
4280,Kara no Kyoukai 4: Garan no Dou,8.05
18429,Lupin III vs. Detective Conan: The Movie,8.05
17549,Non Non Biyori,8.05
26123,Seitokai Yakuindomo* OVA,8.05
28,Yakitate!! Japan,8.05
9513,Beelzebub,8.04
14353,Death Billiards,8.04
8408,Durarara!! Specials,8.04
13331,Jormungand: Perfect Order,8.04
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,8.04
29803,Overlord,8.04
22,Prince of Tennis,8.04
2618,Takarajima,8.04
793,xxxHOLiC Movie: Manatsu no Yoru no Yume,8.04
30279,Yuru Yuri San°ÓHai!,8.04
28755,Boruto: Naruto the Movie,8.03
10029,Coquelicot-zaka kara,8.03
2035,Eikoku Koi Monogatari Emma: Molders-hen,8.03
790,Ergo Proxy,8.03
9289,Hanasaku Iroha,8.03
15809,Hataraku Maou-sama!,8.03
27989,Hibike! Euphonium,8.03
5630,Higashi no Eden,8.03
2829,Ie Naki Ko Remi,8.03
30831,Kono Subarashii Sekai ni Shukufuku wo!,8.03
416,Kurenai no Buta,8.03
85,Mobile Suit Zeta Gundam,8.03
30240,Prison School,8.03
1254,Saint Seiya,8.03
2605,Sayonara Zetsubou Sensei,8.03
4163,Seto no Hanayome OVA,8.03
3228,Zoku Sayonara Zetsubou Sensei,8.03
1485,Akachan to Boku,8.02
6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",8.02
13119,Hakuouki Movie 2: Shikon Soukyuu,8.03
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),8.02
3572,Macross F,8.02
8310,Magic Kaito,8.02
114,Sakigake!! Cromartie Koukou,8.02
11813,Shijou Saikyou no Deshi Kenichi OVA,8.02
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,8.02
10012,Carnival Phantasm,8.01
32370,D.Gray-man Hallow,8.01
22961,Date A Live: Encore OVA,8.01
22777,Dragon Ball Kai (2014),8.01
29787,Gochuumon wa Usagi Desu ka??,8.01
7062,Hidamari Sketch x °Ó°Ó°Ó,8.01
11887,Kokoro Connect,8.01
9088,Saiyuuki Gaiden,8.01
12815,Shirokuma Cafe,8.01
12017,Tiger &amp; Bunny Movie 2: The Rising,8.01
6377,Zan Sayonara Zetsubou Sensei,8.01
1470,City Hunter,8
780,Detective Conan Movie 02: The Fourteenth Target,8
27633,Gekkan Shoujo Nozaki-kun Specials,8
2321,Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,8
17273,Hetalia: The Beautiful World Specials,8
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,8
18661,Kamisama Hajimemashita OVA,8
14349,Little Witch Academia,8
1729,Maria-sama ga Miteru 3rd,8
31973,Mobile Suit Gundam Thunderbolt,8
17949,The Everlasting Guilty Crown,8
996,Bishoujo Senshi Sailor Moon: Sailor Stars,7.99
9465,Break Blade 4: Sanka no Chi,7.99
14175,Hanasaku Iroha: Home Sweet Home,7.99
11239,Hidamari Sketch x Honeycomb,7.99
967,Hokuto no Ken,7.99
1695,Les Mis®¶rables: Shoujo Cosette,7.99
339,Serial Experiments Lain,7.99
7724,Shiki,7.99
2753,Ushiro no Shoumen Daare,7.99
8516,Baka to Test to Shoukanjuu Ni!,7.98
779,Detective Conan Movie 01: The Timed Skyscraper,7.98
1366,Detective Conan Movie 07: Crossroad in the Ancient Capital,7.98
19319,Gundam Build Fighters,7.98
15195,Hetalia: The Beautiful World,7.98
187,Initial D Third Stage,7.98
30311,Kuroko no Basket 3rd Season NG-shuu,7.98
597,Neko no Ongaeshi,7.98
400,Seihou Bukyou Outlaw Star,7.98
18245,White Album 2,7.98
10521,Working&#039;!!,7.98
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7.97
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",7.97
1571,Ghost Hunt,7.97
267,Gungrave,7.97
253,Jungle wa Itsumo Hare nochi Guu,7.97
22673,Kuroko no Basket 2nd Season NG-shuu,7.97
4080,Kyou kara Maou! 3rd Series,7.97
27947,Lupin III (2015),7.97
12917,Madang-Eul Naon Amtalg,7.97
3750,Maria-sama ga Miteru 4th,7.97
569,Musekinin Kanchou Tylor,7.97
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.97
1253,Saint Seiya: Meiou Hades Meikai-hen,7.97
15771,Saint°ÓOniisan (Movie),7.97
397,Seikai no Senki II,7.97
949,Top wo Nerae! Gunbuster,7.97
11001,Toshokan Sensou: Kakumei no Tsubasa,7.96
17909,Uchouten Kazoku,7.96
21185,Baby Steps,7.96
9724,Break Blade 5: Shisen no Hate,7.96
6768,Code Geass: Hangyaku no Lelouch R2 Special Edition Zero Requiem,7.96
4872,Goku Sayonara Zetsubou Sensei,7.96
12413,Jormungand,7.96
2076,Kindaichi Shounen no Jikenbo (TV),7.96
31251,Mobile Suit Gundam: Iron-Blooded Orphans,7.96
5485,Shin Mazinger Shougeki! Z-hen,7.96
5005,Tentai Senshi Sunred,7.96
890,Yuusha-Ou GaoGaiGar,7.96
269,Bleach,7.95
14741,Chuunibyou demo Koi ga Shitai!,7.95
1472,City Hunter 3,7.95
33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,7.95
7304,Detective Conan Movie 08: Time Travel of the Silver Sky,7.95
8609,Detective Conan OVA 10: Kid in Trap Island,7.95
6033,Dragon Ball Kai,7.95
8479,Hetalia World Series,7.95
254,Jungle wa Itsumo Hare nochi Guu Deluxe,7.95
8525,Kami nomi zo Shiru Sekai,7.95
19703,Kyousou Giga (TV),7.95
25517,Magic Kaito 1412,7.95
31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,7.95
27775,Plastic Memories,7.95
21339,Psycho-Pass Movie,7.95
2104,Seto no Hanayome,7.95
24893,Sidonia no Kishi: Daikyuu Wakusei Seneki,7.95
2150,Tanoshii Muumin Ikka,7.95
12445,Tasogare Otome x Amnesia,7.95
543,Vampire Hunter D (2000),7.95
23225,Yuru Yuri Nachuyachumi!,7.95
9252,Break Blade 3: Kyoujin no Ato,7.94
12893,Danshi Koukousei no Nichijou Specials,7.94
1505,Detective Conan Movie 09: Strategy Above the Depths,7.94
4447,Detective Conan Movie 12: Full Score of Fear,7.94
317,Final Fantasy VII: Advent Children,7.94
22265,Free!: Eternal Summer,7.94
13117,Hakuouki Movie 1: Kyoto Ranbu,7.94
9563,Hidamari Sketch x °Ó°Ó°Ó Specials,7.94
16904,K: Missing Kings,7.94
97,Last Exile,7.94
20517,Little Busters!: EX,7.94
2273,Mobile Suit Gundam Wing: Endless Waltz Movie,7.94
1735,Naruto: Shippuuden,7.94
20159,Pokemon: The Origin,7.94
12403,Yuru Yuri??,7.94
7044,Zan Sayonara Zetsubou Sensei Bangaichi,7.94
31646,3-gatsu no Lion,7.93
32998,91 Days,7.93
30123,Akagami no Shirayuki-hime,7.93
31339,Drifters,7.93
2890,Gake no Ue no Ponyo,7.93
